,orbital_period,mass,distance
460,10.7085,1.04,29.76
461,883.0,2.2,121.36
462,1951.0,18.15,57.21
463,974.0,5.61,70.97
464,1544.0,1.49,98.52
465,3.27,0.0351,24.15
466,1160.9,0.1507,24.15
467,258.19,1.59,25.65
468,5000.0,0.82,25.65
469,12.083,0.0292,26.91
470,59.519,0.0382,26.91
471,459.26,0.121,26.91
472,464.3,2.0,106.38
473,11.577,0.0166,14.56
474,27.582,0.0358,14.56
475,106.72,0.03,14.56
476,330.0,0.223,38.45
477,1125.7,9.76,121.36
478,653.22,9.7,33.46
479,1928.0,5.1,35.87
480,1299.0,1.9,106.38
481,386.3,1.62,34.57
482,1057.0,3.12,59.35
483,176.3,2.9,126.1
484,103.95,5.76,55.19
485,44.236,2.12,42.68
486,1008.0,6.56,42.68
487,528.4,1.21,12.87
488,1027.0,0.85,53.05
489,331.5,0.96,59.28
491,4.072,1.33,63.49
492,2.391,15.5,76.51
493,1096.2,0.168,29.55
494,2097.0,3.0,85.18
495,689.0,1.5,182.82
496,499.4,2.73,51.87
497,18.596,0.0193,18.08
498,3342.0,0.947,18.06
499,163.9,5.02,65.79
500,408.6,2.24,68.54
501,3452.0,2.58,68.54
502,194.3,0.85,43.4
503,391.9,0.82,43.4
504,131.05,9.71,35.37
505,842.0,0.75,55.1
506,4.6455,0.013,24.05
507,359.5546,10.57,49.0
508,104.84,0.12,33.48
509,521.0,1.8,114.15
510,12.62,1.13,68.59
511,248.4,1.9,68.59
512,1178.4,2.1,52.72
513,352.3,0.73,52.72
515,4205.8,1.814,15.28
518,8.428198,14.4,31.26
519,75.29,0.77,69.44
520,1314.0,2.29,69.44
521,282.4,0.48,51.81
522,606.4,2.7,37.98
523,1155.0,0.36,21.92
524,5144.0,3.53,42.99
525,420.77,1.7,50.0
526,58.11289,8.02,37.88
527,1749.5,18.1,37.88
528,6.403,0.23,43.12
529,225.62,2.88,36.32
530,2102.0,4.04,36.32
531,1145.0,0.67,64.98
533,1523.0,2.6,44.05
534,323.6,2.7,134.95
535,1290.0,7.8,67.02
536,297.3,0.61,127.55
538,406.6,1.49,59.03
539,110.9,0.15,59.03
540,71.484,7.03,46.73
541,14.476,0.08,63.69
542,3.0925,0.95,27.05
544,479.0,1.6,114.55
545,663.0,3.3,115.47
546,9.3743,0.0238,26.15
547,962.0,0.64,26.15
548,2172.0,0.54,26.15
549,956.0,0.37,55.93
550,634.23,3.69,52.83
551,2950.0,3.82,52.83
552,6.838,0.94,47.37
553,986.0,0.75,44.98
554,3.097,0.52,47.92
555,3810.0,1.99,47.92
556,456.46,1.26,52.63
557,14.275,0.0316,17.72
559,1136.1,5.93,62.11
560,2891.0,1.502,15.89
561,17.1,0.057,15.89
562,1038.1,1.9,54.23
563,4885.0,3.1,189.39
564,24.348,0.72,19.89
565,74.72,0.05318,8.82
566,525.8,0.07552,8.82
567,351.5,2.5,67.39
568,18.20163,3.7,37.35
569,1289.0,3.0,46.93
570,3638.0,6.9,43.57
571,1333.0,2.58,32.99
572,1035.7,0.79,32.83
573,613.8,1.85,68.35
574,825.0,0.895,68.35
575,255.87,17.4,46.34
576,1383.4,2.44,46.34
578,1931.0,4.05,47.3
579,34.873,0.054,47.3
580,2831.6,1.68,47.3
581,1733.0,0.266,26.95
582,279.8,1.37,90.33
583,610.0,2.2,170.07
586,123.0,0.45,43.99
587,875.5,9.9,352.11
589,442.1,1.23,21.29
591,2.245715,0.45,52.72
592,373.3,2.3,121.8
593,951.0,4.5,40.75
594,7.2825,0.0087,21.52
595,10.866,0.0097,21.52
596,191.99,0.101,38.64
597,2277.0,0.246,38.64
598,3.93,0.017,43.53
599,567.0,0.33,43.53
600,1311.0,1.26,33.29
601,1294.0,2.1,26.52
602,118.45,0.65,37.89
603,7.126816,1.39,19.72
604,4270.0,2.6,19.72
605,1319.0,13.0,54.92
606,225.7,0.21,29.94
607,5501.0,10.39,29.2
609,3.8335,0.06,81.1
610,672.1,11.1,289.02
611,2209.0,1.06,45.23
612,3724.7,1.45,48.43
613,456.1,3.09,52.88
614,3999.0,1.9,50.45
615,572.38,7.75,41.95
616,26.73,0.71,94.07
617,141.6,1.08,108.46
620,745.7,5.3,307.69
621,2443.0,2.54,54.92
622,8.7836,0.0265,9.42
623,3.369,0.76,50.2
624,345.72,1.42,44.8
626,57.0,0.47,23.8
627,16.2,1.25,223.21
628,6.673855,3.88,52.88
629,147.73,1.28,52.88
630,952.0,0.57,52.88
631,41.397,0.298,11.03
632,8.1352,0.036,25.87
633,32.03,0.41,25.87
634,431.7,0.527,25.87
636,124.6,9.18,149.25
637,17337.5,9.0,23.98
638,511.098,8.82,31.33
640,111.7,2.1,14.9
641,5.0505,1.068,44.46
642,311.288,1.94,17.24
649,2.7033904,1.47,178.0
784,580.0,0.947,135.0
